Player,GP,Reb/G,APG,SPG,BPG,TO,PF,PPG
A. Drummond,40,7.8,0.9,1,0.5,55,94,7.3
P. George,41,5.3,4.3,1.8,0.5,106,101,16.2
J. Embiid,19,8.2,4.5,0.7,0.9,62,42,23.8
K. Lowry,35,1.9,2.7,0.9,0.3,21,62,3.9
K. Oubre Jr.,60,6.1,1.8,1.5,0.5,80,180,15.1
E. Gordon,39,1.2,1.7,0.7,0.3,28,32,6.8
L. Walker IV,20,3.2,2.5,0.5,0.3,25,27,12.4
G. Yabusele,70,5.6,2.1,0.8,0.3,87,164,11
J. Butler,60,1.8,3.7,0.7,0.2,80,97,9
Q. Grimes,75,4.3,3,1,0.3,141,138,14.6
T. Maxey,52,3.3,6.1,1.8,0.4,124,116,26.3
R. Council IV,73,2.9,1.3,0.4,0.2,52,67,7.3
J. McCain,23,2.4,2.6,0.7,0,37,37,15.3
A. Bona,58,4.2,0.5,0.4,1.2,61,125,5.8
J. Edwards,44,3.4,1.6,1,0.4,49,98,10.1
