Player,GP,Reb/G,APG,SPG,BPG,TO,PF,PPG
T. Warren,0,0,0,0,0,0,0,0
C. Payne,8,0.5,0.5,0.5,0.0,5.0,13.0,2.8
D. Wright,0,0,0,0,0,0,0,0
P. Tucker,0,0,0,0,0,0,0,0
L. Shamet,4,0.0,0.0,0.0,0.0,2.0,0.0,0.5
M. Bridges,8,5.4,2.9,1.9,1.1,14.0,17.0,14.9
J. Brunson,8,3.9,7.6,0.5,0.4,22.0,26.0,29.4
J. Hart,8,8.6,5.1,1.4,0.9,15.0,27.0,13.5
K. Towns,8,11.3,1.4,1.0,1.1,14.0,36.0,19.1
O. Anunoby,8,4.8,1.0,2.5,1.1,16.0,23.0,17.3
M. Robinson,8,6.1,0.1,1.0,0.5,6.0,14.0,3.9
M. Ryan,0,0,0,0,0,0,0,0
P. Achiuwa,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0
M. McBride,8,1.1,1.0,0.5,0.0,4.0,10.0,4.9
M. Beauchamp,0,0,0,0,0,0,0,0
P. Dadiet,0,0,0,0,0,0,0,0
K. McCullar Jr.,0,0,0,0,0,0,0,0
T. Kolek,0,0,0,0,0,0,0,0
A. Hukporti,0,0,0,0,0,0,0,0
A. Watson,0,0,0,0,0,0,0,0
