Player,GP,Reb/G,APG,SPG,BPG,TO,PF,PPG
G. Payton II,9,2.3,1.6,0.9,0,4,18,5.3
D. Green,10,5.3,3.8,1.6,1.1,31,36,8.5
S. Curry,8,5.3,5.1,1,0.8,27,13,22.6
K. Looney,10,3.2,0.3,0.5,0.4,2,25,1.8
K. Knox II,4,1.8,0.8,0,0.3,1,1,4.8
B. Hield,10,3.4,1.9,1,0.5,5,16,12.9
B. Key,4,2.3,0.3,0.5,0.5,3,4,0.5
J. Butler III,9,6.8,5.3,1.2,0.2,10,15,20
T. Jackson-Davis,7,2.3,0.1,0.3,0.3,1,12,4.3
P. Spencer,6,1.7,0.8,0.5,0,4,8,5.3
M. Moody,10,2.4,0.9,0.4,0.3,3,11,7
J. Kuminga,6,2.8,1.5,0.2,0.7,9,10,12.2
B. Podziemski,10,5.1,3.2,0.9,0.2,14,13,9.6
G. Santos,8,0.8,0.8,0.1,0,6,8,2.1
Q. Post,10,2.3,1.1,0.3,0.3,4,18,3.7
